"Name", "Creator", "Apple Music"
"AZKi SOLO LiVE 2025 \"Departure\"", "hololive production", "https://music.apple.com/us/playlist/azki-solo-live-2025-departure/pl.u-BNA6rkRCerl7VM9"
"ときのそら "エモソング" セレクション", "", "https://music.apple.com/us/playlist/%E3%81%A8%E3%81%8D%E3%81%AE%E3%81%9D%E3%82%89-%E3%82%A8%E3%83%A2%E3%82%BD%E3%83%B3%E3%82%B0-%E3%82%BB%E3%83%AC%E3%82%AF%E3%82%B7%E3%83%A7%E3%83%B3/pl.0eef3acafccb4bddb3369f6f3e94f87d"
"ときのそらの夏曲 10選!!", "", "https://music.apple.com/us/playlist/%E3%81%A8%E3%81%8D%E3%81%AE%E3%81%9D%E3%82%89%E3%81%AE%E5%A4%8F%E6%9B%B2-10%E9%81%B8/pl.a44528fe011240679bf94417dc580ed1"
