"Artist Name","Apple Music","Amazon Music","Spotify"
"hololive 1st Generation","https://music.apple.com/us/artist/hololive-1st-generation/1567324091","https://music.amazon.co.jp/artists/B09671QSMM","https://open.spotify.com/artist/4TLgkK1S9q8LkOyrkloTzD"
"hololive 3rd Generation","https://music.apple.com/us/artist/hololive-3rd-generation/1846017222","",""
"hololive 4th Generation","https://music.apple.com/us/artist/hololive-4th-generation/1573415741","https://music.amazon.co.jp/artists/B09671QSMM","https://open.spotify.com/artist/6wKVNZwJCRHUfPIwAcBKB9"
"hololive 5th Generation","https://music.apple.com/us/artist/hololive-5th-generation/1692693098","https://music.amazon.co.jp/artists/B0C6KSB557","https://open.spotify.com/artist/1dKUu8dQXbudkOCOLGJDtF"
"hololive English","https://music.apple.com/us/artist/hololive-english/1692289576","https://music.amazon.co.jp/artists/B0C6KQNT4C","https://open.spotify.com/artist/5yPEnSSQxrRpZv4UVzKNgd"
"hololive English -Advent-","https://music.apple.com/us/artist/hololive-english-advent/1699712700","https://music.amazon.co.jp/artists/B0C8W4R5G7","https://open.spotify.com/artist/7f6iNIQqPWTQZyDUuMRyQZ"
"hololive English -Council-","https://music.apple.com/us/artist/hololive-english-council/1641217573","https://music.amazon.co.jp/artists/B09QMX42RD","https://open.spotify.com/artist/1dKUu8dQXbudkOCOLGJDtF"
"hololive English -Justice-","https://music.apple.com/us/artist/hololive-english-justice/1753197574","https://music.amazon.co.jp/artists/B0CQ7QWBSB","https://open.spotify.com/artist/4pF7qsArxuv4ZD7XWctF6x"
"hololive English -Myth-","https://music.apple.com/us/artist/hololive-english-myth/1557415274","https://music.amazon.co.jp/artists/B08WJMPTW5","https://open.spotify.com/artist/6HM0ayZcKcyODfmRYd1sYQ"
"hololive English -Promise-","https://music.apple.com/us/artist/hololive-english-promise/1752430277","https://music.amazon.co.jp/artists/B0CQ7R17LQ","https://open.spotify.com/artist/7f6iNIQqPWTQZyDUuMRyQZ"
"hololive ERROR","https://music.apple.com/us/artist/hololive-error/1630896125","https://music.amazon.co.jp/artists/B09RRNZQNW","https://open.spotify.com/artist/4AviR1MqlU1zAGYV6JAX6j"
"HOLOLIVE FANTASY","https://music.apple.com/us/artist/hololive-fantasy/1596401829","https://music.amazon.co.jp/artists/B09GSFWJHW","https://open.spotify.com/artist/7sKv6dUCJHyQ6rK6VoXZID"
"hololive GAMERS","https://music.apple.com/us/artist/hololive-gamers/1746882931","https://music.amazon.co.jp/artists/B0CNZ9DSJL","https://open.spotify.com/artist/0PRApVJAnQp1g3sYxUNC5F"
"hololive IDOL PROJECT","https://music.apple.com/us/artist/hololive-idol-project/1479292202","https://music.amazon.co.jp/artists/B07H2VL9N9","https://open.spotify.com/artist/6kO0JoS3T8CjnGemk0ym0K"
"hololive Indonesia","https://music.apple.com/us/artist/hololive-indonesia/1561519384","https://music.amazon.co.jp/artists/B09P4PDMJ8","https://open.spotify.com/artist/5ZqnEqFXWzfWjxytpjkKQd"
"hololive Indonesia 1st Generation","https://music.apple.com/us/artist/hololive-indonesia-1st-generation/1619263208","https://music.amazon.co.jp/artists/B09P4PDMJ8","https://open.spotify.com/artist/5ZqnEqFXWzfWjxytpjkKQd"
"hololive music studio","https://music.apple.com/us/artist/hololive-music-studio/1579662017","https://music.amazon.co.jp/artists/B096MY2PGK","https://open.spotify.com/artist/5ZuqN8ei6I3y8BJhwAJT6U"
"hololive Sports Festival Committee","https://music.apple.com/us/artist/hololive-sports-festival-committee/1653071313","https://music.amazon.co.jp/artists/B0BK6JQFG4","https://open.spotify.com/artist/5ZuqN8ei6I3y8BJhwAJT6U"
"HoneyStrap","https://music.apple.com/us/artist/honeystrap/1454104391","https://music.amazon.co.jp/artists/B08HWWN6RJ","https://open.spotify.com/artist/7cawVPPQBMuRKbiErUWvQX"
"HoneyWorks","https://music.apple.com/us/artist/honeyworks/415606364","https://music.amazon.co.jp/artists/B005Y3ONLA","https://open.spotify.com/artist/4mGgpEZYZMxo8ifD2cBsOr"
"Hoshimachi Suisei","https://music.apple.com/us/artist/hoshimachi-suisei/1503670948","https://music.amazon.co.jp/artists/B083P6BFBY","https://open.spotify.com/artist/726WiFmWkohzodUxK3XjHX"
"Houshou marine","https://music.apple.com/us/artist/houshou-marine/1527058880","https://music.amazon.co.jp/artists/B08H5FD89L","https://open.spotify.com/artist/2vgUijXnRj0o3RBwYJTtBl"
"ibaramuan","https://music.apple.com/us/artist/ibaramuan/1739270478","",""
"Ichijou Ririka","https://music.apple.com/us/artist/ichijou-ririka/1722891550","https://music.amazon.co.jp/artists/B0CKTM8RW4","https://open.spotify.com/artist/6X1gbfRUQKYYkl7VLvPEIz"
"Ichika Souya","https://music.apple.com/us/artist/ichika-souya/1485085012","https://music.amazon.co.jp/artists/B07P6QMS3N","https://open.spotify.com/artist/7FhODwlbWxUgwXXgmnOg4S"
"IMI","https://music.apple.com/us/artist/imi/1775383384","https://music.amazon.co.jp/artists/B0CP1ZKST6","https://open.spotify.com/artist/2YJ4DxZwoyEiggXKGWDtEE"
"Inugami Korone","https://music.apple.com/us/artist/inugami-korone/1562684718","https://music.amazon.co.jp/artists/B091P6R7N8","https://open.spotify.com/artist/4v0LY0rkHPIJ53X0G4Doq6"
"Inuyama Tamaki","https://music.apple.com/us/artist/inuyama-tamaki/1490647625","https://music.amazon.co.jp/artists/B07H2W2N5F","https://open.spotify.com/artist/4CzlSHnzU9tBsAv5JoQmO6"
"Iori Matsunaga","https://music.apple.com/us/artist/iori-matsunaga/1579010863","https://music.amazon.co.jp/artists/B097QVD2QV","https://open.spotify.com/artist/53Xn7Sm5RH5UwefWJ5E2jU"
"IRyS","https://music.apple.com/us/artist/irys/1576219850","https://music.amazon.co.jp/artists/B0982RSPZX","https://open.spotify.com/artist/1RrGTBD8GZpRNdL0uJ7tJ5"
"Isekaijoucho","https://music.apple.com/us/artist/isekaijoucho/1542902428","https://music.amazon.co.jp/artists/B08VQT8PLR","https://open.spotify.com/artist/0lUD7XoZGzN7qZ3HXX1bzm"
"Izumi Yunohara","https://music.apple.com/us/artist/izumi-yunohara/1653363528","",""
"Juufuutei Raden","https://music.apple.com/us/artist/juufuutei-raden/1722891723","https://music.amazon.co.jp/artists/B0CKTM8RW4","https://open.spotify.com/artist/1HvPnJ0IhCfvFxFpnGw3kG"
"Kaela Kovalskia","https://music.apple.com/us/artist/kaela-kovalskia/1712796551","https://music.amazon.co.jp/artists/B0C5SKPGLW","https://open.spotify.com/artist/2fYImq9LMGM7J1T5AY1HYA"
"KAF","https://music.apple.com/us/artist/kaf/1503255391","https://music.amazon.co.jp/artists/B082PQXMTD","https://open.spotify.com/artist/7vlxuYCYLBzQjxJcBiPCkl"
"Kaga Sumire","https://music.apple.com/us/artist/kaga-sumire/1785126578","",""
"Kagura Mea","https://music.apple.com/us/artist/kagura-mea/1557620154","https://music.amazon.co.jp/artists/B07GKWP7BF","https://open.spotify.com/artist/3u0ZuIhbly8dvSYXhHsGjp"
"KaguraNana","https://music.apple.com/us/artist/kaguranana/1557619672","https://music.amazon.co.jp/artists/B08WJPQ728","https://open.spotify.com/artist/0YQBzKVRZxOcGaKJL9oLsz"
"Kalafina","https://music.apple.com/us/artist/kalafina/315159189","",""
"KANAKEN","https://music.apple.com/us/artist/kanaken/1786489717","https://music.amazon.co.jp/artists/B0CVS7XX2L","https://open.spotify.com/artist/0J0H9bmMxwzGayg7RHjZ3W"
"Kanaria","https://music.apple.com/us/artist/kanaria/1522309252","https://music.amazon.co.jp/artists/B088CF16X3","https://open.spotify.com/artist/7kZTWx6cRKJeH7CuKxmUKz"
"Kannagi Tenri","https://music.apple.com/us/artist/kannagi-tenri/1761542161","",""
"Kanon Kanade","https://music.apple.com/us/artist/kanon-kanade/1503143497","",""
"Kazama Iroha","https://music.apple.com/us/artist/kazama-iroha/1657199914","https://music.amazon.co.jp/artists/B0BWLV61CT","https://open.spotify.com/artist/0sOeI7yF9RK3lo0q5kTW1z"
"Kizuna AI","https://music.apple.com/us/artist/kizuna-ai/1410047993","",""
"KizunaAI","https://music.apple.com/us/artist/kizunaai/1797983127","https://music.amazon.co.jp/artists/B07BMHF21C","https://open.spotify.com/artist/2nSwLQOfBDwxf8A9mmvvWH"
"KMNZ","https://music.apple.com/us/artist/kmnz/1416494540","https://music.amazon.co.jp/artists/B07BXRP9C6","https://open.spotify.com/artist/5Vyyvo5O9jRp8GLyQHOKDJ"
"Kobo Kanaeru","https://music.apple.com/us/artist/kobo-kanaeru/1630302894","https://music.amazon.co.jp/artists/B09RRLK4ZH","https://open.spotify.com/artist/5jR6NMu2Eb8V7UxEXeHtxm"
"Kohana Lam","https://music.apple.com/us/artist/kohana-lam/1529850728","https://music.amazon.co.jp/artists/B08B4QK4NJ","https://open.spotify.com/artist/2YEOUc5JbSHDjiGpxEg0vX"
"Kokage Tsumugi","https://music.apple.com/us/artist/kokage-tsumugi/1840084702","",""
"Koseki Bijou","https://music.apple.com/us/artist/koseki-bijou/1759892767","",""
"Kotone","https://music.apple.com/us/artist/kotone/1461706645","https://music.amazon.co.jp/artists/B07N36L2QN","https://open.spotify.com/artist/4EK6h7xnODZXrUF8DkIWZX"
"Kureiji Ollie","https://music.apple.com/us/artist/kureiji-ollie/1565580320","https://music.amazon.co.jp/artists/B091P9KRRP","https://open.spotify.com/artist/3sLDOKk32QnxZk0xpE06Gt"
"Kuromu Yano","https://music.apple.com/us/artist/kuromu-yano/1841779404","",""
"Kurumi Noah","https://music.apple.com/us/artist/kurumi-noah/1715972042","https://music.amazon.co.jp/artists/B0CKTM8RW4","https://open.spotify.com/artist/4tdR85mTeg2hpAx5rRgD2K"
"Kyo Hanabasami","https://music.apple.com/us/artist/kyo-hanabasami/1484418681","https://music.amazon.co.jp/artists/B07H2W2N5F","https://open.spotify.com/artist/0RoGtQVmP11HXTWfYYHIwS"
"La+ Darknesss","https://music.apple.com/us/artist/la-darknesss/1625645681","https://music.amazon.co.jp/artists/B09RRR7GQJ","https://open.spotify.com/artist/6NHoOlwOsZ1HqKYzDaFRHe"
